,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent
R.I.,0.0375,>,0,0.0375,>,0,10900,21800,5100,10200,5100
"(d, bb, ff)",0.0475,>,79900,0.0475,>,79900
,0.0599,>,181650,0.0599,>,181650

S.C.,0,>,0,0,>,0,15000,30000,n.a.,n.a.,4790
"(d, o, u, bb, ll, qq)",0.03,>,3560,0.03,>,3560
,0.062,>,17830,0.062,>,17830

S.D.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

Tenn.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

Tex.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

"Utah (d, h, gg, ll)",0.0455,>,0,0.0455,>,0,$900 credit,"$1,800 credit",n.a.,n.a.,2046

Vt.,0.0335,>,0,0.0335,>,0,7400,14850,5100,10200,5100
"(j, n, hh, mm)",0.066,>,47900,0.066,>,79950
,0.076,>,116000,0.076,>,193300
,0.0875,>,242000,0.0875,>,294600

Va.,0.02,>,0,0.02,>,0,8500,17000,930,1860,930
(m)  ,0.03,>,3000,0.03,>,3000
,0.05,>,5000,0.05,>,5000
,0.0575,>,17000,0.0575,>,17000

"Wash. (n, ss)",7.0% on capital gains income only,,,7.0% on capital gains income only,,,270000,270000,n.a.,n.a.,n.a.

W.Va. ,0.0222,>,0,0.0222,>,0,n.a.,n.a.,2000,4000,2000
"(a, m)",0.0296,>,10000,0.0296,>,10000
,0.0333,>,25000,0.0333,>,25000
,0.0444,>,40000,0.0444,>,40000
,0.0482,>,60000,0.0482,>,60000

Wis.,0.035,>,0,0.035,>,0,13560,25110,700,1400,700
"(d, m, bb, ii)",0.044,>,14680,0.044,>,19580
,0.053,>,29370,0.053,>,39150
,0.0765,>,323290,0.0765,>,431060

Wyo.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.

D.C.,0.04,>,0,0.04,>,0,15000,30000,n.a.,n.a.,n.a.
(u),0.06,>,10000,0.06,>,10000
,0.065,>,40000,0.065,>,40000
,0.085,>,60000,0.085,>,60000
,0.0925,>,250000,0.0925,>,250000
,0.0975,>,500000,0.0975,>,500000
,0.1075,>,1000000,0.1075,>,1000000

