 ,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption,,, , ,,,,,,
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,,,,,,,
"(u) Deduction and/or exemption tied to federal tax system. Federal deductions are indexed for inflation. Where applicable, the tax year 2026 inflation-adjusted amounts are shown. ",,,,,,,,,,,,,,,,,,,
"(v) As of June 1, 2017, taxpayers cannot claim the personal exemption if their adjusted gross income exceeds $250,000 (single filers) or $500,000 (MFJ).",,,,,,,,,,,,,,,,,,,
"(w) $1,000 is a base exemption. If dependents meet certain conditions, filers can take an additional $1,500 exemption for each. If a taxpayer is claiming a child as a dependent for the first taxable year in which the exemption is allowed, the taxpayer is now permitted to claim an amount of $3,000, instead of $1,500.",,,,,,,,,,,,,,,,,,,
"(x) Beginning in tax year 2025, Maryland levies an additional 2% surtax on capital gains income for filers with AGI exceeding $350,000, regardless of filing status.",,,,,,,,,,,,,,,,,,,
"(y) Maine's personal exemption begins to phase out for taxpayers with income exceeding $333,450 (single filers) or $400,100 (MFJ) in tax year 2025. These phaseout thresholds are adjusted annually for inflation. The standard deduction amounts for 2025 are phased out for taxpayers with Maine income over $100,000 (single filers) or $200,050 (MFJ). The dependent personal exemption is structured as a tax credit and begins to phase out for taxpayers with income exceeding $125,000 (head of household) or $150,000 (married filing jointly).",,,,,,,,,,,,,,,,,,,
"(z) Kentucky's standard deduction is not doubled for MFJ filers, but only for married filing separately (MFS). Many married taxpayers file separately to claim this doubled deduction.",,,,,,,,,,,,,,,,,,,
"(aa) The exemption amount has the following phaseout schedule: If AGI is above $100,000 for single filers and above $150,000 for married filers, the $3,200 exemption begins to be phased out. If AGI is above $150,000 for single filers and above $200,000 for married filers, the exemption is phased out entirely.",,,,,,,,,,,,,,,,,,,
(bb) Bracket levels adjusted for inflation each year. Inflation-adjusted bracket levels for 2026 are shown. ,,,,,,, ,,,,,,,,,,,,
"(cc) For taxpayers whose AGI exceeds $122,200 (married filing separately) or $244,400 (all other filers), Minnesota’s standard deduction is reduced by 3 percent of the excess of the taxpayer’s federal AGI over the applicable amount but not over $168,900 (married filing separately) or $337,800 (all other filers), plus 10 percent of the taxpayer's federal adjusted gross income over the second threshold, or 80 percent of the standard deduction otherwise allowable, whichever is less.",,,,,,,,,,,,,,,,,,,
"(dd) Ohio's personal exemption is $2,400 for an AGI of $40,000 or less, $2,150 if AGI is more than $40,000 but less than or equal to $80,000, and $1,900 if AGI is greater than $80,000 but less than $500,000. For AGI above $500,000, there is no exemption.",,,,,,,,,,,,,,,,,,,
"(ee) The personal exemption credit is not allowed if federal AGI exceeds $100,000 for single filers or $200,000 for MFJ.",,,,,,,,,,,,,,,,,,,
"(ff) The phaseout range for the standard deduction, personal exemption, and dependency exemption is $261,000 to $290,800. For taxpayers with modified Federal AGI exceeding $290,800, no standard deduction, personal exemption, or dependency exemption is available.",,,,,,,,,,,,,,,,,,,
"(gg) The standard deduction is taken in the form of a nonrefundable credit of 6 percent of the federal standard or itemized deduction amount, excluding the deduction for state or local income tax. This credit phases out at 1.3 cents per dollar of AGI above $18,213 ($36,426 for MFJ) as of 2025.",,,,,,,,,,,,,,,,,,,
"(hh) For taxpayers with federal AGI that exceeds $150,000, the taxpayer will pay the greater of state income tax or 3 percent of federal AGI.",,,,,,,,,,,,,,,,,,,
"(ii) The standard deduction begins to phase out at $20,119 in income for single filers and $29,039 in income for joint filers. The standard deduction phases out to zero at $136,453 for single filers and $159,690 for joint filers.",,,,,,,,,,,,,,,,,,,
"(jj) In lieu of the suspended personal exemption, New Mexico offers a deduction of $4,000 for all but one of a taxpayer’s dependents.",,,,,,,,,,,,,,,,,,,
"(kk) Taxpayers with net income greater than or equal to $89,601 but not greater than $92,700 shall reduce the amount of tax due by deducting a bracket adjustment amount. ",,,,,,,,,,,,,,,,,,,
"(ll) The dependent deduction/exemption is adjusted annually for inflation, but the 2026 amount was not available at the time of publication, so the 2025 amount is shown.",,,,,,,,,,,,,,,,,,,
"(mm) Taxpayers also receive an additional deduction of $1,250 (tax year 2025) for each standard deduction box checked on federal Form 1040.",,,,,,,,,,,,,,,,,,,
(nn) California and Oregon do not fully index their top brackets.,,,,,,,,,,,,,,,,,,,
"(oo) Minnesota has a surtax on individuals, estates, and trusts equal to 1% of net investment income over $1 million.",,,,,,,,,,,,,,,,,,,
(pp) Ohio's personal exemption is adjusted periodically based on changes in the GDP deflator. ,,,,,,,,,,,,,,,,,,,
"(qq) South Carolina's top marginal rate is scheduled to revert to 6.2% on July 1, 2026.",,,,,,,,,,,,,,,,,,,
"(rr) In Massachusetts, rates exclude the paid family and medical leave payroll tax. Employers must withhold 0.46 percent of employees' eligible wages. Additionally, employers with 25 or more employees contribute an extra 0.42 percent of eligible wages.",,,,,,,,,,,,,,,,,,,
"(ss) In Washington, the rate excludes the 0.58 percent payroll tax that funds the long-term care insurance program (WA Cares). Employers withhold this tax from employees' gross wages.  ",,,,,,,,,,,,,,,,,,,
(tt) Tax applies to capital gains income only.,,,,,,,,,,,,,,,,,,,
"(uu) Dependent exemption is reduced to $500 for taxpayers with AGI greater than $50,000, and is phased out completely for taxpayers with AGI greater than $100,000.",,,,,,,,,,,,,,,,,,,
"(vv) State conforms to a pre-OBBBA version of the federal standard deduction, which in inflation-adjusted terms is $8,350 (single filers) and $16,700 (MFJ) for 2026.",,,,,,,,,,,,,,,,,,,
(ww) Maine offers a refundable dependent credit of $305 for dependents ages six and older and $610 for dependents ages five and under (2025 amounts).,,,,,,,,,,,,,,,,,,,
