 ,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption,,, , ,,,,,,
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,,,,,,,
N.J. ,1.40%,>,$0 ,1.40%,>,$0 ,n.a.,n.a.,"$1,000 ","$2,000 ","$1,500 ",,,,,,,,
(a),1.75%,>,"$20,000 ",1.75%,>,"$20,000 ", ,, ,,,,,,,,,,
,3.50%,>,"$35,000 ",2.45%,>,"$50,000 ", ,, ,,,,,,,,,,
,5.53%,>,"$40,000 ",3.50%,>,"$70,000 ", ,, ,,,,,,,,,,
,6.37%,>,"$75,000 ",5.53%,>,"$80,000 ", ,, ,,,,,,,,,,
,8.97%,>,"$500,000 ",6.37%,>,"$150,000 ", ,, ,,,,,,,,,,
,10.75%,>,"$1,000,000 ",8.97%,>,"$500,000 ", ,, ,,,,,,,,,,
, ,,,10.75%,>,"$1,000,000 ",,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
N.M.,1.50%,>,$0 ,1.50%,>,$0 ,"$16,100 ","$32,200 ",n.a.,n.a.,"$4,000 ",,,,,,,,
"(m, o, u, jj)",3.20%,>,"$5,500 ",3.20%,>,"$8,000 ", ,,,,,,,,,,,,
,4.30%,>,"$16,500 ",4.30%,>,"$25,000 ", ,, ,,,,,,,,,,
,4.70%,>,"$33,500 ",4.70%,>,"$50,000 ", ,, ,,,,,,,,,,
,4.90%,>,"$66,500 ",4.90%,>,"$100,000 ", ,, ,,,,,,,,,,
,5.90%,>,"$210,000 ",5.90%,>,"$315,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
N.Y.,3.90%,>,$0 ,3.90%,>,$0 ,"$8,000 ","$16,050 ",n.a.,n.a.,"$1,000 ",,,,,,,,
"(a, i)",4.40%,>,"$8,500 ",4.40%,>,"$17,150 ", ,, ,,,,,,,,,,
,5.15%,>,"$11,700 ",5.15%,>,"$23,600 ", ,, ,,,,,,,,,,
,5.40%,>,"$13,900 ",5.40%,>,"$27,900 ", ,, ,,,,,,,,,,
,5.90%,>,"$80,650 ",5.90%,>,"$161,550 ", ,, ,,,,,,,,,,
,6.85%,>,"$215,400 ",6.85%,>,"$323,200 ", ,, ,,,,,,,,,,
,9.65%,>,"$1,077,550 ",9.65%,>,"$2,155,350 ", ,, ,,,,,,,,,,
,10.30%,>,"$5,000,000 ",10.30%,>,"$5,000,000 ", ,, ,,,,,,,,,,
,10.90%,>,"$25,000,000 ",10.90%,>,"$25,000,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
N.C.,3.99%,>,$0 ,3.99%,>,$0 ,"$12,750 ","$25,500 ",n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
N.D.,1.95%,>,"$48,475 ",1.95%,>,"$80,975 ","$16,100 ","$32,200 ",n.a.,n.a.,n.a.,,,,,,,,
"(j, o, u)",2.50%,>,"$244,825 ",2.50%,>,"$298,075 ", ,,,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Ohio,2.75%,>,"$26,050 ",2.75%,>,"$26,050 ",n.a.,n.a.,"$2,400 ","$4,800 ","$2,400 ",,,,,,,,
"(a, bb, dd, pp)", ,,, ,,, ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Okla. ,2.50%,>,"$3,750 ",2.50%,>,"$7,500 ","$6,350 ","$12,700 ","$1,000 ","$2,000 ","$1,000 ",,,,,,,,
(m),3.50%,>,"$4,900 ",3.50%,>,"$9,800 ", ,,,,,,,,,,,,
,4.50%,>,"$7,200 ",4.50%,>,"$14,400 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Ore.,4.75%,>,$0 ,4.75%,>,$0 ,"$2,910 ","$5,820 ",$256 credit,$512 credit,$256 credit,,,,,,,,
"(a, b, d, h, m, bb, ee, nn)",6.75%,>,"$4,550 ",6.75%,>,"$9,100 ", ,,,,,,,,,,,,
,8.75%,>,"$11,400 ",8.75%,>,"$22,800 ", ,, ,,,,,,,,,,
,9.90%,>,"$125,000 ",9.90%,>,"$250,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Pa. (a),3.07%,>,$0 ,3.07%,>,$0 ,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,,,,,,,,,,,,
R.I.,3.75%,>,$0 ,3.75%,>,$0 ,"$11,200 ","$22,400 ","$5,250 ","$10,500 ","$5,250 ",,,,,,,,
"(d, bb, ff)",4.75%,>,"$82,050 ",4.75%,>,"$82,050 ", ,, ,,,,,,,,,,
,5.99%,>,"$186,450 ",5.99%,>,"$186,450 ", ,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S.C.,0.00%,>,$0 ,0.00%,>,$0 ,"$8,350 ","$16,700 ",n.a.,n.a.,"$4,930 ",,,,,,,,
"(d, o, u, bb, qq, vv, ww)",3.00%,>,"$3,640 ",3.00%,>,"$3,640 ", ,,,,,,,,,,,,
,6.00%,>,"$18,230 ",6.00%,>,"$18,230 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
S.D.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Tenn.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Tex.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
"Utah (d, h, gg, ll)",4.50%,>,$0 ,4.50%,>,$0 ,$966 credit,"$1,932 credit",n.a.,n.a.,"$2,111 ",,,,,,,,
, ,,, ,,, ,,,,,,,,,,,,
